MSOAC,LSOACOUNT,POPMID15,IMD19 SCORE
E02000827,6,10969,31.28189963
E02000828,4,8560,35.42614428
E02000829,5,11452,34.77146236
E02000830,5,9278,20.01590472
E02000831,5,9907,24.73823731
E02000832,5,10703,30.13412445
E02000833,5,8550,19.44935497
E02000834,5,9616,18.20127548
E02000835,4,7816,20.37527636
E02000836,5,8414,14.23300416
E02000837,5,9448,9.928760902
E02000838,5,9290,17.23100538
E02000839,5,8177,20.29518723
E02000840,5,8527,31.98473906
E02000841,5,9141,28.1525425
E02000842,5,7791,9.867797972
E02000843,5,7856,15.41885438
E02000844,5,8130,20.51463272
E02000845,5,9664,9.770362893
E02000846,4,7225,10.87425287
E02000847,6,9238,6.876810782
E02000848,5,8044,7.747291522
E02000849,5,7882,12.79201332
E02000850,7,10672,12.18067204
E02000851,5,9126,21.22601052
E02000852,5,7768,9.235949022
E02000853,5,7922,13.56951111
E02000854,5,7355,9.897086064
E02000855,5,8029,6.350149707
E02000856,5,8919,11.83447898
E02000857,5,8623,10.29694944
E02000858,5,8262,32.31579896
E02000859,5,8536,11.74606209
E02000860,5,8236,19.69012822
E02000861,5,7703,5.020283266
E02000863,4,6786,10.86407545
E02000864,4,9717,33.5666926
E02000865,4,7875,33.66083822
E02000866,5,10414,25.29098272
E02000867,6,11859,25.02429421
E02000868,4,7015,28.85113913
E02000869,4,6165,33.03527818
E02000870,4,6659,29.58680417
E02000871,5,10732,33.78368505
E02000872,4,8551,30.51431002
E02000873,5,9517,26.84948082
E02000874,4,7265,33.36954522
E02000875,5,12355,31.35519628
E02000876,4,7680,33.78064609
E02000877,5,11889,31.26856565
E02000878,5,11343,30.51716821
E02000879,4,8936,30.615297
E02000880,4,6283,30.80582604
E02000881,4,8105,39.50274349
E02000882,4,10112,35.63656744
E02000883,4,9080,40.40641134
E02000884,5,10968,24.32861698
E02000885,4,7465,36.60490047
E02000886,4,8355,25.34613525
E02000887,4,10224,32.65090943
E02000888,5,9575,23.27310841
E02000889,4,7870,21.14019898
E02000890,3,6132,9.30465835
E02000891,8,15925,19.25768641
E02000893,4,7398,20.85948216
E02000894,6,11309,13.13253453
E02000895,5,8213,23.4748713
E02000896,5,9177,14.95624986
E02000897,5,8507,28.00218843
E02000898,5,7998,24.39077144
E02000899,5,8470,20.38614203
